24/04/18 12:47:10 PM | ERROR: [8] Use of undefined constant IMG_RURAL_SHOP - assumed 'IMG_RURAL_SHOP'
Notice on line 27 in file /opt/lampp/htdocs/Proyectos/GiovannyProy4/classes/email/email.class.singleton.php
 | contact | response 200
24/04/18 17:07:06 PM | error loadView general | view/css | response 400
24/04/18 17:07:06 PM | error loadView general | view | response 400
24/04/18 17:07:06 PM | error loadView general | view/css | response 400
24/04/18 17:07:06 PM | error loadView general | view/css | response 400
24/04/18 17:07:07 PM | error loadView general | view/css | response 400
24/04/18 17:07:11 PM | error loadView general | view/css | response 400
24/04/18 17:07:12 PM | error loadView general | view/css | response 400
24/04/18 17:07:12 PM | error loadView general | media | response 400
24/04/18 17:07:16 PM | error loadView general | view/css | response 400
24/04/18 17:07:16 PM | error loadView general | view | response 400
24/04/18 17:07:16 PM | error loadView general | view/css | response 400
24/04/18 17:07:17 PM | error loadView general | view/css | response 400
24/04/18 17:07:17 PM | error loadView general | view/css | response 400
24/04/18 17:07:26 PM | error loadView general | view/css | response 400
24/04/18 17:07:26 PM | error loadView general | view/css | response 400
24/04/18 17:07:26 PM | error loadView general | media | response 400
24/04/18 17:07:31 PM | error loadView general | view/css | response 400
24/04/18 17:07:31 PM | error loadView general | view | response 400
24/04/18 17:07:32 PM | error loadView general | view/css | response 400
24/04/18 17:07:32 PM | error loadView general | view/css | response 400
24/04/18 17:07:35 PM | error loadView general | view/css | response 400
24/04/18 17:07:35 PM | error loadView general | view | response 400
24/04/18 17:07:35 PM | error loadView general | view/css | response 400
24/04/18 17:07:35 PM | error loadView general | view/css | response 400
24/04/18 17:07:36 PM | error loadView general | view/css | response 400
24/04/18 17:07:40 PM | error loadView general | view/css | response 400
24/04/18 17:07:40 PM | error loadView general | media | response 400
24/04/18 17:07:40 PM | error loadView general | view/css | response 400
24/04/18 17:07:43 PM | error loadView general | media | response 400
24/04/18 17:07:47 PM | error loadView general | media | response 400
24/04/18 17:07:50 PM | error loadView general | view/css | response 400
24/04/18 17:07:50 PM | error loadView general | view | response 400
24/04/18 17:07:50 PM | error loadView general | view/css | response 400
24/04/18 17:07:50 PM | error loadView general | view/css | response 400
24/04/18 17:07:51 PM | error loadView general | view/css | response 400
24/04/18 17:07:58 PM | error loadView general | view/css | response 400
24/04/18 17:07:58 PM | error loadView general | view/css | response 400
24/04/18 17:07:58 PM | error loadView general | media | response 400
24/04/18 17:08:17 PM | error loadView general | view/css | response 400
24/04/18 17:08:18 PM | error loadView general | view | response 400
24/04/18 17:08:18 PM | error loadView general | view/css | response 400
24/04/18 17:08:18 PM | error loadView general | view/css | response 400
24/04/18 17:08:18 PM | error loadView general | view/css | response 400
24/04/18 17:08:26 PM | error loadView general | view/css | response 400
24/04/18 17:08:26 PM | error loadView general | media | response 400
24/04/18 17:08:29 PM | error loadView general | view/css | response 400
24/04/18 17:08:29 PM | error loadView general | view | response 400
24/04/18 17:08:29 PM | error loadView general | view/css | response 400
24/04/18 17:08:30 PM | error loadView general | view/css | response 400
24/04/18 17:09:53 PM | error loadView general | view/css | response 400
24/04/18 17:09:53 PM | error loadView general | view | response 400
24/04/18 17:09:53 PM | error loadView general | view/css | response 400
24/04/18 17:09:53 PM | error loadView general | view/css | response 400
24/04/18 17:11:59 PM | error loadView general | view/css | response 400
24/04/18 17:11:59 PM | error loadView general | view | response 400
24/04/18 17:11:59 PM | error loadView general | view/css | response 400
24/04/18 17:12:00 PM | error loadView general | view/css | response 400
24/04/18 17:12:03 PM | error loadView general | view/css | response 400
24/04/18 21:48:48 PM | error loadView general | view/css | response 400
24/04/18 21:48:49 PM | error loadView general | view/css | response 400
24/04/18 21:52:32 PM | error loadView general | view/css | response 400
24/04/18 21:52:32 PM | error loadView general | view | response 400
24/04/18 21:52:32 PM | error loadView general | view/css | response 400
24/04/18 21:52:32 PM | error loadView general | view/css | response 400
24/04/18 21:52:33 PM | error loadView general | view/css | response 400
24/04/18 21:52:38 PM | error loadView general | view/css | response 400
24/04/18 21:52:38 PM | error loadView general | view/css | response 400
24/04/18 21:53:33 PM | error loadView general | media | response 400
24/04/18 21:53:42 PM | error loadView general | media | response 400
24/04/18 21:53:52 PM | error loadView general | media | response 400
24/04/18 21:54:01 PM | error loadView general | view/css | response 400
24/04/18 21:54:01 PM | error loadView general | view | response 400
24/04/18 21:54:01 PM | error loadView general | view/css | response 400
24/04/18 21:54:02 PM | error loadView general | view/css | response 400
24/04/18 21:56:14 PM | error loadView general | view/css | response 400
24/04/18 21:56:17 PM | error loadView general | view/css | response 400
24/04/18 21:56:17 PM | error loadView general | view | response 400
24/04/18 21:56:17 PM | error loadView general | view/css | response 400
24/04/18 21:56:17 PM | error loadView general | view/css | response 400
24/04/18 21:56:21 PM | error loadView general | view/css | response 400
24/04/18 21:56:21 PM | error loadView general | media | response 400
24/04/18 23:15:40 PM | error loadView general | view/css | response 400
24/04/18 23:15:40 PM | error loadView general | view/css | response 400
24/04/18 23:15:40 PM | error loadView general | media | response 400
24/04/18 23:16:47 PM | error loadView general | view/css | response 400
24/04/18 23:16:47 PM | error loadView general | view/css | response 400
24/04/18 23:16:47 PM | error loadView general | media | response 400
24/04/18 23:19:45 PM | error loadView general | view/css | response 400
24/04/18 23:19:46 PM | error loadView general | view/css | response 400
24/04/18 23:19:47 PM | error loadView general | media | response 400
24/04/18 23:21:04 PM | error loadView general | view/css | response 400
24/04/18 23:21:04 PM | error loadView general | media | response 400
24/04/18 23:21:05 PM | error loadView general | view/css | response 400
24/04/18 23:23:51 PM | error loadView general | view/css | response 400
24/04/18 23:23:52 PM | error loadView general | media | response 400
24/04/18 23:23:55 PM | error loadView general | view | response 400
24/04/18 23:26:02 PM | error loadView general | view/css | response 400
24/04/18 23:26:03 PM | error loadView general | view/css | response 400
24/04/18 23:26:03 PM | error loadView general | media | response 400
24/04/18 23:26:07 PM | error loadView general | view | response 400
24/04/18 23:26:20 PM | error loadView general | view/css | response 400
24/04/18 23:26:21 PM | error loadView general | media | response 400
24/04/18 23:26:26 PM | error loadView general | view | response 400
24/04/18 23:27:14 PM | error loadView general | view/css | response 400
24/04/18 23:27:14 PM | error loadView general | view/css | response 400
24/04/18 23:27:15 PM | error loadView general | media | response 400
24/04/18 23:27:18 PM | error loadView general | view | response 400
24/04/18 23:27:31 PM | error loadView general | view/css | response 400
24/04/18 23:27:31 PM | error loadView general | view/css | response 400
24/04/18 23:27:31 PM | error loadView general | media | response 400
24/04/18 23:27:36 PM | error loadView general | view | response 400
24/04/18 23:29:00 PM | error loadView general | view/css | response 400
24/04/18 23:29:00 PM | error loadView general | view/css | response 400
24/04/18 23:29:00 PM | error loadView general | media | response 400
24/04/18 23:29:03 PM | error loadView general | view | response 400
24/04/18 23:29:17 PM | error loadView general | view/css | response 400
24/04/18 23:29:18 PM | error loadView general | media | response 400
24/04/18 23:29:18 PM | error loadView general | view/css | response 400
24/04/18 23:29:21 PM | error loadView general | view | response 400
24/04/18 23:32:25 PM | error loadView general | view/css | response 400
24/04/18 23:32:26 PM | error loadView general | media | response 400
24/04/18 23:32:26 PM | error loadView general | view/css | response 400
24/04/18 23:32:29 PM | error loadView general | view | response 400
24/04/18 23:33:03 PM | error loadView general | view/css | response 400
24/04/18 23:33:04 PM | error loadView general | view/css | response 400
24/04/18 23:33:04 PM | error loadView general | media | response 400
24/04/18 23:33:06 PM | error loadView general | view | response 400
