ERROR: [8] Use of undefined constant IMG_RURAL_SHOP - assumed 'IMG_RURAL_SHOP'
Notice on line 27 in file /opt/lampp/htdocs/Proyectos/GiovannyProy4/classes/email/email.class.singleton.php
error loadView general | 24.04.2018 17:05:43  |  User:   | view | response 400
error loadView general | 24.04.2018 17:05:43  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:05:44  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:06:49  |  User:   | courses/details | response 400
error loadView general | 24.04.2018 17:06:49  |  User:   | courses/details | response 400
error loadView general | 24.04.2018 17:06:50  |  User:   | courses/details | response 400
error loadView general | 24.04.2018 17:06:50  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:06:50  |  User:   | courses/details | response 400
error loadView general | 24.04.2018 17:06:54  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:06:55  |  User:   | view | response 400
error loadView general | 24.04.2018 17:06:55  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:06:55  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:06:55  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:07:01  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:07:02  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:07:02  |  User:   | media | response 400
error loadView general | 24.04.2018 17:07:06  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:07:06  |  User:   | view | response 400
error loadView general | 24.04.2018 17:07:06  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:07:06  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:07:07  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:07:11  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:07:12  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:07:12  |  User:   | media | response 400
error loadView general | 24.04.2018 17:07:16  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:07:16  |  User:   | view | response 400
error loadView general | 24.04.2018 17:07:16  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:07:17  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:07:17  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:07:26  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:07:26  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:07:26  |  User:   | media | response 400
error loadView general | 24.04.2018 17:07:31  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:07:31  |  User:   | view | response 400
error loadView general | 24.04.2018 17:07:32  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:07:32  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:07:35  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:07:35  |  User:   | view | response 400
error loadView general | 24.04.2018 17:07:35  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:07:35  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:07:36  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:07:40  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:07:40  |  User:   | media | response 400
error loadView general | 24.04.2018 17:07:40  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:07:43  |  User:   | media | response 400
error loadView general | 24.04.2018 17:07:47  |  User:   | media | response 400
error loadView general | 24.04.2018 17:07:50  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:07:50  |  User:   | view | response 400
error loadView general | 24.04.2018 17:07:50  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:07:50  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:07:51  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:07:58  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:07:58  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:07:58  |  User:   | media | response 400
error loadView general | 24.04.2018 17:08:17  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:08:18  |  User:   | view | response 400
error loadView general | 24.04.2018 17:08:18  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:08:18  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:08:18  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:08:26  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:08:26  |  User:   | media | response 400
error loadView general | 24.04.2018 17:08:29  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:08:29  |  User:   | view | response 400
error loadView general | 24.04.2018 17:08:29  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:08:30  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:09:53  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:09:53  |  User:   | view | response 400
error loadView general | 24.04.2018 17:09:53  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:09:53  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:11:59  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:11:59  |  User:   | view | response 400
error loadView general | 24.04.2018 17:11:59  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:12:00  |  User:   | view/css | response 400
error loadView general | 24.04.2018 17:12:03  |  User:   | view/css | response 400
error loadView general | 24.04.2018 21:48:48  |  User:   | view/css | response 400
error loadView general | 24.04.2018 21:48:49  |  User:   | view/css | response 400
error loadView general | 24.04.2018 21:52:32  |  User:   | view/css | response 400
error loadView general | 24.04.2018 21:52:32  |  User:   | view | response 400
error loadView general | 24.04.2018 21:52:32  |  User:   | view/css | response 400
error loadView general | 24.04.2018 21:52:32  |  User:   | view/css | response 400
error loadView general | 24.04.2018 21:52:33  |  User:   | view/css | response 400
error loadView general | 24.04.2018 21:52:38  |  User:   | view/css | response 400
error loadView general | 24.04.2018 21:52:38  |  User:   | view/css | response 400
error loadView general | 24.04.2018 21:53:33  |  User:   | media | response 400
error loadView general | 24.04.2018 21:53:42  |  User:   | media | response 400
error loadView general | 24.04.2018 21:53:52  |  User:   | media | response 400
error loadView general | 24.04.2018 21:54:01  |  User:   | view/css | response 400
error loadView general | 24.04.2018 21:54:01  |  User:   | view | response 400
error loadView general | 24.04.2018 21:54:01  |  User:   | view/css | response 400
error loadView general | 24.04.2018 21:54:02  |  User:   | view/css | response 400
error loadView general | 24.04.2018 21:56:14  |  User:   | view/css | response 400
error loadView general | 24.04.2018 21:56:17  |  User:   | view/css | response 400
error loadView general | 24.04.2018 21:56:17  |  User:   | view | response 400
error loadView general | 24.04.2018 21:56:17  |  User:   | view/css | response 400
error loadView general | 24.04.2018 21:56:17  |  User:   | view/css | response 400
error loadView general | 24.04.2018 21:56:21  |  User:   | view/css | response 400
error loadView general | 24.04.2018 21:56:21  |  User:   | media | response 400
